parc,categorie,theme,adresse,ville,code postal,departement,long,lat,titre,telephone 1,site web,presentation courte,presentation longue,acces PMR,acces transports en commun,Curiosités,Point de départ,Carte web,Distance,Durée,Public,Curiosité 1,Curiosité 2,Curiosité 3,Capacité,horaires,tarif,gratuité,guide
Gâtinais français,patrimoine,Patrimoine religieux,Rue du Menhir,Saint-Martin-en-Bière,77630,77,48.436815, 2.56725,Saint-Martin,01 64 38 02 81 (Mairie),NC,,"Entièrement restaurée entre 1998 et 2001, cette église du début du XIIe siècle abrite des décors datant du XVIIe siècle, découverts lors des travaux : boiseries peintes ornant le chœur réalisées par les élèves de la deuxième Ecole de Fontainebleau, fresques dont on ne connaissait pas l’existence, peintures sur les poutres et une litre funéraire armoriée. De nombreux tableaux sont classés Monuments Historiques, tout comme la statue de saint-Martin.",oui,non,,,,,,,,,,,Ouverture sur demande auprès de la mairie,,NC,NC
Gâtinais français,patrimoine,Musée,"55, rue Haute",Bouray-sur-Juine,91850,91,48.518963, 2.295351,Musée des vieux métiers,01 60 82 23 25,NC,Plus de 3.000 objets apportés par des particuliers retracent la vie dans la campagne du Gâtinais français.,"Dans cette ancienne école communale de filles plus de 3.000 objets apportés par des particuliers retracent la vie dans la campagne du Gâtinais français. Chaque salle est consacrée à un thème : les métiers manuels, la vie quotidienne, le métier de pompiers, les métiers traditionnels, l’agriculture et tout ce qui y est lié (laiterie, outils de vétérinaires, métier à tisser…).",non,non,,,,,,,,,,,"Le 1er et 3e week-end de chaque mois, 14h-17h (visite guidée).","4 €/adulte, 
2,50 €/enfant 7-16 ans.",NC,NC
Gâtinais français,produits,Produits divers,1 rue de la Mairie,Châtenoy,77167,77,48.2335368, 2.6257144,Ferme de Châtenoy,01 64 28 78 95,NC,,,non,non,,,,,,,,,,,,,,
Gâtinais français,produits,Fruits / Légumes,678 rue Grande,Arbonne-la-Forêt,77630,77,48.4179962, 2.5658968,Ferme des Quatre-Saisons,01 64 14 00 84,http://www.lafermechezvous.com,,,non,non,,,,,,,,,,,,,,
Gâtinais français,produits,Cresson de fontaine,Moulin du Ruisseau,Moigny-sur-École,91490,91,48.433029, 2.457289,Cressonnière du Moulin du Ruisseau,01 64 98 07 13,NC,,,non,non,,,,,,,,,,,,,,
Gâtinais français,produits,Viande / Volaille,Rue de la Libération,Boissy-aux-Cailles,77760,77,48.3056295, 2.4870328,Ferme des Quatre-Temps,01 64 24 58 22,http://www.ferme-des-quatre-temps.com/,,,non,non,,,,,,,,,,,,,,
Gâtinais français,produits,Cresson de fontaine,32 rue de la Mothe,D'Huison-Longueville,91590,91,48.460672, 2.3421536,Cressonnière Marais Saint-Pierre,01 64 57 60 86,NC,,,non,non,,,,,,,,,,,,,,
Gâtinais français,produits,Produits divers,3 grande rue,Moigny-sur-École,91490,91,48.4402381, 2.458922,Ferme de Moigny,01 64 98 40 30,NC,,,non,non,,,,,,,,,,,,,,
Gâtinais français,produits,Plantes / Herbes,4 rue de l’Église,Oncy-sur-École,91490,91,48.3815052, 2.4749374,Ferme du Clos d'Artois,01 64 98 50 57,NC,,,non,non,,,,,,,,,,,,,,
Gâtinais français,produits,Fruits / Légumes,10 rue de la Mairie,Châtenoy,77167,77,48.2337106, 2.6263229,Biolab maraîchage,NC,NC,,,non,non,,,,,,,,,,,,,,
